Date,Open,High,Low,Close,Adj Close,Volume,returns
2013-11-29,181.320007,181.75,180.800003,181.0,152.534546,55870900,-0.06621914334280499
2013-12-02,181.089996,181.429993,180.25,180.529999,152.138458,99726000,-0.2596710124931234
2013-12-03,179.940002,180.389999,179.169998,179.75,151.48114,116563000,-0.43205249260512835
2013-12-04,179.100006,180.479996,178.350006,179.729996,151.46431,123033000,-0.011110293994354148
2013-12-05,179.410004,179.740005,178.770004,178.940002,150.798508,106934000,-0.43957682176085644
2013-12-06,180.669998,181.110001,180.149994,180.940002,152.483994,127728000,1.1177073449559538
2013-12-09,181.470001,181.669998,181.160004,181.399994,152.871613,70124000,0.25420307393049235
2013-12-10,180.979996,181.360001,180.639999,180.75,152.323868,80976000,-0.35830393180975584
2013-12-11,180.820007,180.850006,178.5,178.720001,150.613098,130591000,-1.1231135490860855
2013-12-12,178.639999,178.860001,177.759995,178.130005,150.115906,115565000,-0.3301120597094531
2013-12-13,178.5,178.660004,177.770004,178.110001,150.099045,107808000,-0.011231987634940932
2013-12-16,178.949997,179.809998,178.899994,179.220001,151.034485,96195000,0.6232151576980316
2013-12-17,179.380005,179.410004,178.25,178.649994,150.554108,89886000,-0.3180578263301759
2013-12-18,178.919998,181.729996,177.320007,181.699997,153.124466,234906000,1.7072652710346414
2013-12-19,181.179993,181.699997,180.710007,181.490005,152.947464,136531200,-0.11559354597194815
2013-12-20,180.690002,181.990005,180.570007,181.559998,153.837173,197087000,0.5817088931922454
2013-12-23,182.449997,182.639999,182.070007,182.529999,154.659042,85598000,0.5342460368795265
2013-12-24,182.539993,183.009995,182.529999,182.929993,154.99794,45368800,0.21912588854648973
2013-12-26,183.339996,183.960007,183.320007,183.860001,155.785965,63365000,0.5084099827391331
2013-12-27,184.100006,184.179993,183.660004,183.850006,155.777496,61814000,-0.0054363048686667526
2013-12-30,183.869995,184.020004,183.580002,183.820007,155.752075,56857000,-0.01631878843399992
2013-12-31,184.070007,184.690002,183.929993,184.690002,156.489273,86119900,0.47331504251226786
2014-01-02,183.979996,184.070007,182.479996,182.919998,154.989517,119636900,-0.958376233238678
2014-01-03,183.229996,183.600006,182.630005,182.889999,154.964081,81390600,-0.016411432522889235
2014-01-06,183.490005,183.559998,182.080002,182.360001,154.51506,108028200,-0.2897581149789108
2014-01-07,183.089996,183.789993,182.949997,183.479996,155.463959,86144200,0.6141142487987805
2014-01-08,183.449997,183.830002,182.889999,183.520004,155.49791,96582300,0.021838502131554804
2014-01-09,184.110001,184.130005,182.800003,183.639999,155.599564,90683400,0.06537322591666506
2014-01-10,183.949997,184.220001,183.009995,184.139999,156.023209,102026400,0.2722661870697918
2014-01-13,183.669998,184.179993,181.339996,181.690002,153.947327,149892000,-1.3304956444012195
2014-01-14,182.289993,183.770004,181.949997,183.669998,155.624985,105016100,1.0897610453476814
2014-01-15,184.100006,184.940002,183.710007,184.660004,156.463821,98525800,0.5390111362902239
2014-01-16,184.279999,184.660004,183.830002,184.419998,156.260468,72290600,-0.1299680646300927
2014-01-17,184.100006,184.449997,183.320007,183.639999,155.599564,107848700,-0.4229502243651373
2014-01-21,184.699997,184.770004,183.050003,184.179993,156.057114,88621200,0.2940560938847092
2014-01-22,184.490005,184.570007,183.910004,184.300003,156.158783,61270900,0.06514858399853107
2014-01-23,183.369995,183.399994,181.820007,182.789993,154.879379,132496900,-0.8192968563285996
2014-01-24,181.600006,181.660004,178.830002,178.889999,151.57486,208677100,-2.1336081157711795
